{'guid': '85709db3-6ab2-47b1-813b-d9e792763b05', 'typeName': 'business.Category', 'bussinessDomain': '第一批数据'}
{'guid': '9c12af1b-de5d-42fa-ae32-13aa61f1e696', 'typeName': 'business.Category', 'bussinessDomain': '第一批数据'}
{'guid': '8916ac85-bf20-46bf-aff6-8e75007b0b26', 'typeName': 'business.Category', 'bussinessDomain': '第一批数据'}
{'guid': '018055de-b00f-4082-a93a-b3a9b9067c6c', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '1df77151-2262-4f02-a9c9-30c27e5d5847', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'f8f39392-bb2b-431d-bc6a-e9cbdb795d70', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '72919e34-17ef-4695-ae1b-36d25983744e', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'e08bccef-07b2-49d7-af8d-eb4a44dc6b91', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'ac27952d-1cfe-4ae2-ad69-4610e7b214ae', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '63238fe7-7726-4d95-ad48-a93a698ed3ea', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '6bc23964-61cf-4280-8943-a3ca6fe1a38e', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '3ce2ae2a-b11b-4d17-b380-23caec9acf96', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'a69df13e-437e-4afb-9883-9763b4419bf2', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'dac94e38-c6c4-4c8e-86db-e0fae8a7c73a', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '48b5dbb9-dafd-428a-864c-2b447ac0aaca', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'b7d47c48-86dc-465d-bdcd-9b98707da9d7', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '55f65ede-3280-4a83-b799-1a40c6c32c91', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '6d05a4d0-ee58-4d84-a2df-b335f9b1cc98', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '46b25cb7-4743-4582-8c5f-02b619c685eb', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'cfaffbc8-e6e9-4e18-9d1e-1f9015ae1608', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'c624a034-cbfd-411a-97d1-4a6dae3c8242', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '1b2a6275-05fe-481a-9933-b6dba1aa4c59', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'e534d069-b985-4308-a840-9e4bc07d396c', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '2042a692-b4be-48fd-b2aa-bd27888b6f67', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '622038f3-1d93-4bd7-a8f6-a4e9dffe743a', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '479bc8ae-6c22-4631-9f1f-b99aae40f401', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '415dd665-1fb8-4503-8362-8059bd7b814f', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '4e61feb1-a78b-433c-8872-fc2ce16a1751', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'b17bf31f-fd01-4a50-b632-024a231d84ae', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '8b7c910a-8773-405a-90a0-c0524a19e0b1', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'fe7f4e65-6e56-49bf-a762-83348054477d', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '2f0bb9d3-53d0-45ba-a3c0-0af2bf398ac5', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '2453dc24-2cc9-4eca-a8d5-fa1e1d84c628', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '7097220e-3b92-489a-bcb8-92f8b45dfd71', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '239796d5-448e-448e-9e27-006b15b872c6', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '9f89f3b1-1f1a-4310-8f6e-ec6271105dbd', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '85ec6f5a-7442-4585-ae1d-6ff881cba84b', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '45dbd91d-9605-47d3-a319-7eb18341f62b', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '7504d0c9-0bef-48e8-9d4e-91cd631ee4c2', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '93e20673-a8a7-47da-b96b-c1167cf24712', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '2082a4c5-9aa0-403e-a645-e77a693ca14a', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '98d42422-a865-42b7-bcfb-b4ffa7093f44', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '1816e253-d899-46f2-af15-cb7ea7b6f1c0', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '91bde481-9144-4723-87c4-5bc99243fbea', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'c72227fc-75bf-4133-bdbe-7bc8f202313e', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '004d6c4e-1cd9-4980-8b7e-6264adcde44a', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '3edfdd8f-9b7e-4355-ae22-e0c067e719c5', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'a41abbda-5efe-48ce-8e39-cd48a25de812', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'e9ed3e2f-bc9e-44d3-8150-a40a16e12fef', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'ea5e8832-8255-4784-87bb-186c8e9fc32e', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '5577f5c9-7ebd-4f84-849e-92bdf9e06d94', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '36cae833-77a2-46aa-b140-bef327364594', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '0eb7eff3-4011-4114-80e9-5278fb026dba', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': 'f5536dc9-28dd-4d96-ad60-6bd70491666d', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '1709388f-44de-4266-997b-3f5715245921', 'typeName': 'business.LogicEntity', 'bussinessDomain': '第一批数据'}
{'guid': '48562bdb-246f-4833-b700-7aebb4759222', 'typeName': 'business.Category', 'bussinessDomain': '第一批数据'}
{'guid': 'fd427baf-e81f-40d8-8856-1edf5b0fcc98', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '078a92fc-350b-4c10-880c-28bc52966182', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'dfad90a8-c03a-4b5e-9dd8-39287d9baa23', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'b714f213-1dc3-4e83-acf4-8289632695a9', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '1263d8b8-3519-40f1-9da3-b832950c5504', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '126031d9-4776-41d8-bf9f-9e80ff5089b9', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '171a4413-135f-4e03-a6ce-1b0b4ffa2240', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'e331bd62-c566-40b7-bbe9-5c1d23a4b809', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '150dc4b1-c32d-4c41-8076-747ed4e0e54e', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '32bf2360-6637-4d3e-b507-a4ea87a08651', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '665863d3-b301-4c78-8794-89666cde90c5', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'b74a2791-f61e-4d20-b04f-90f444d114a2', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '70e39cf7-6ada-4394-866c-9724d20dbfbf', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': 'fc1d85a1-8f44-4341-a0e8-9ecbdfea5c3e', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '6919f069-174e-4780-bb05-030af4422f87', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '1e3fc74a-32c6-44dc-8ba1-3f7aefef86c1', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '06fba978-351b-4a4c-93b2-73737050a52a', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
{'guid': '48af71db-c0c8-4667-8c97-9ad95aa4508b', 'typeName': 'business.LogicEntityField', 'bussinessDomain': '第一批数据'}
